time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.000	3.005	4.416	5.136	5.101	5.023	5.264	4.974	3.930	3.223	3.678	3.452	2.974	2.848	2.505	2.265	2.646	2.994	2.699	1.748	2.363	2.320	1.824	2.631	1.974	2.591	2.352	2.216	2.336	1.974	1.799	1.484	2.152	1.759	1.594	1.246	1.416	1.246	1.829	1.455	1.192	1.252	1.117	0.970	1.179	1.254	1.015	1.042	1.029	0.941	0.950	0.558	0.455	0.429	0.323	0.290	0.207	0.156	0.128	0.097	0.044	0.001	0.001	0.000	0.000
0.005	2.891	4.462	5.089	4.717	4.413	4.940	4.769	3.853	3.171	3.661	3.524	3.016	2.537	2.045	2.013	2.489	2.923	2.527	1.703	2.174	2.181	1.855	2.675	1.968	2.701	2.290	2.379	2.054	1.862	1.520	1.413	2.104	1.679	1.401	1.252	1.468	0.990	1.814	1.229	1.141	1.316	1.100	0.859	1.211	1.205	0.904	0.896	0.965	0.927	1.028	0.557	0.424	0.407	0.286	0.270	0.200	0.154	0.118	0.091	0.039	0.000	0.000	0.000	0.000
0.010	2.885	4.420	4.939	4.631	4.295	4.529	4.412	3.653	3.177	3.629	3.379	2.828	2.052	1.515	2.068	2.204	2.727	2.425	1.677	1.943	2.043	2.064	2.834	2.008	2.788	2.273	2.461	1.954	1.820	1.353	1.512	1.945	1.538	1.347	1.358	1.524	0.882	1.654	1.005	1.115	1.330	1.169	0.927	1.187	1.208	0.873	0.751	0.954	0.977	1.047	0.582	0.443	0.389	0.330	0.281	0.211	0.164	0.115	0.081	0.038	0.000	0.000	0.000	0.000
0.015	2.981	4.291	4.742	4.497	4.200	4.088	3.836	3.542	3.397	3.501	3.070	2.339	1.875	1.765	2.269	1.993	2.596	2.576	1.729	1.783	1.952	2.291	2.987	2.215	2.795	2.272	2.396	2.093	1.784	1.474	1.580	1.862	1.485	1.312	1.423	1.559	1.039	1.409	0.939	0.969	1.326	1.222	1.015	1.173	1.245	0.933	0.644	0.937	0.998	1.008	0.599	0.496	0.404	0.393	0.322	0.241	0.184	0.117	0.077	0.036	0.000	0.000	0.000	0.000
0.020	3.054	4.120	4.478	4.076	3.785	3.600	3.071	3.231	3.381	3.422	2.756	1.650	1.647	1.933	2.278	2.487	2.790	2.692	1.842	1.807	1.960	2.414	3.048	2.261	2.714	2.197	2.192	2.215	1.914	1.882	1.580	1.805	1.549	1.278	1.374	1.510	1.290	1.298	0.952	0.795	1.243	1.283	1.046	1.212	1.243	0.945	0.591	0.947	0.983	0.961	0.583	0.577	0.461	0.465	0.366	0.281	0.203	0.138	0.090	0.039	0.000	0.000	0.000	0.000
0.025	2.987	3.938	4.052	3.780	3.862	3.695	2.955	2.515	3.128	3.487	3.017	2.170	1.942	1.882	2.148	2.643	2.817	2.656	2.079	1.974	1.998	2.412	2.984	2.039	2.609	2.043	1.926	2.212	2.056	2.173	1.597	1.653	1.611	1.348	1.287	1.393	1.497	1.265	1.033	0.812	1.126	1.327	1.098	1.243	1.217	0.968	0.600	0.949	0.972	0.968	0.578	0.670	0.535	0.522	0.416	0.333	0.221	0.163	0.111	0.047	0.000	0.000	0.000	0.000
0.030	2.994	3.752	3.506	3.741	4.244	4.025	3.068	1.635	3.036	3.623	3.409	2.753	2.185	1.553	1.954	2.588	2.724	2.582	2.191	2.047	1.969	2.259	2.790	1.837	2.578	2.036	1.788	2.088	2.113	2.328	1.737	1.520	1.598	1.399	1.340	1.375	1.593	1.285	1.164	0.968	1.107	1.329	1.142	1.246	1.156	0.965	0.617	0.961	0.973	0.982	0.609	0.742	0.601	0.550	0.461	0.399	0.239	0.185	0.125	0.061	0.000	0.000	0.000	0.000
0.035	2.914	3.633	3.585	3.977	4.464	4.292	3.451	2.545	3.205	3.747	3.666	3.057	2.196	1.562	1.935	2.315	2.709	2.722	2.168	2.005	2.033	2.152	2.884	2.289	2.524	2.220	1.963	1.990	2.166	2.383	1.786	1.401	1.535	1.518	1.401	1.438	1.572	1.321	1.313	1.117	1.131	1.357	1.156	1.303	1.224	0.971	0.651	1.019	0.991	1.029	0.673	0.770	0.642	0.567	0.486	0.441	0.260	0.195	0.131	0.075	0.000	0.000	0.000	0.000
0.040	2.689	3.591	3.702	4.034	4.548	4.461	3.685	2.775	3.212	3.779	3.767	3.176	2.073	1.617	1.905	1.802	2.619	2.812	2.077	1.840	2.017	2.114	3.037	2.502	2.396	2.373	2.326	2.101	2.258	2.396	1.749	1.298	1.462	1.584	1.342	1.446	1.516	1.282	1.394	1.202	1.109	1.385	1.170	1.315	1.332	0.969	0.710	1.092	1.007	1.097	0.746	0.772	0.665	0.591	0.463	0.449	0.270	0.203	0.138	0.089	0.000	0.000	0.000	0.000
0.045	2.651	3.555	3.622	3.915	4.554	4.502	3.752	2.783	3.090	3.728	3.694	3.156	2.321	1.932	1.803	1.182	2.440	2.747	2.186	1.900	1.864	2.136	3.159	2.479	2.301	2.488	2.521	2.223	2.335	2.344	1.676	1.109	1.412	1.614	1.150	1.351	1.382	1.200	1.386	1.239	1.083	1.423	1.140	1.250	1.412	0.968	0.714	1.143	1.011	1.169	0.793	0.774	0.650	0.629	0.447	0.459	0.279	0.213	0.151	0.100	0.000	0.000	0.000	0.000
