time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.000	3.287	4.606	5.239	5.217	4.398	2.724	3.849	4.280	4.050	3.562	3.044	2.968	3.288	3.534	3.213	2.759	2.499	2.367	2.972	3.128	3.185	2.964	2.222	1.605	2.368	2.454	2.472	1.920	1.559	1.651	1.140	2.110	1.365	1.511	1.796	1.643	1.454	1.667	1.697	1.517	1.791	1.666	1.791	1.900	1.806	1.484	1.685	1.685	1.633	1.568	1.667	1.297	1.046	1.243	0.886	0.845	1.008	0.971	1.019	0.679	0.008	0.008	0.007	0.007
0.005	3.336	4.523	4.953	4.870	4.239	3.217	3.682	4.146	4.082	3.637	3.062	2.487	2.956	3.547	3.385	2.871	2.407	2.470	3.074	3.234	3.236	2.918	2.154	1.881	2.449	2.488	2.491	1.949	1.618	1.643	1.117	2.015	1.359	1.469	1.786	1.653	1.449	1.722	1.773	1.399	1.984	1.698	1.992	2.200	1.911	1.340	1.802	1.783	1.729	1.651	1.631	1.288	1.288	1.206	0.957	0.845	1.017	0.926	1.016	0.661	0.002	0.002	0.002	0.002
0.010	3.341	4.313	4.493	4.384	4.103	3.683	3.717	3.889	3.893	3.545	2.809	2.102	2.853	3.527	3.363	2.723	2.257	2.527	2.978	3.133	3.095	2.698	2.105	2.029	2.395	2.341	2.324	1.916	1.630	1.559	1.155	1.762	1.289	1.380	1.660	1.535	1.307	1.688	1.764	1.409	2.064	1.840	2.243	2.434	2.088	1.489	2.135	1.915	1.873	1.734	1.626	1.315	1.522	1.112	1.028	0.870	1.029	0.863	0.952	0.587	0.001	0.000	0.000	0.000
0.015	3.398	4.091	3.990	3.714	3.790	3.852	3.604	3.403	3.553	3.205	2.328	2.034	2.996	3.541	3.155	2.258	2.114	2.496	2.731	2.844	2.780	2.391	2.059	2.062	2.260	2.057	1.995	1.977	1.561	1.522	1.364	1.394	1.198	1.303	1.593	1.354	1.077	1.641	1.833	1.521	2.043	1.913	2.443	2.569	2.322	1.839	2.436	2.086	2.023	1.834	1.689	1.465	1.674	1.106	1.089	0.963	1.044	0.843	0.886	0.545	0.001	0.000	0.000	0.000
0.020	3.499	4.131	4.062	3.680	3.635	3.867	3.419	2.598	3.076	2.719	1.791	2.082	3.071	3.558	3.037	2.034	2.142	2.447	2.454	2.386	2.675	2.542	1.917	1.966	2.057	1.709	1.729	1.991	1.479	1.600	1.451	1.229	1.177	1.333	1.695	1.254	0.975	1.695	2.119	1.568	2.051	2.038	2.532	2.658	2.503	2.137	2.670	2.331	2.169	1.884	1.827	1.629	1.770	1.195	1.126	1.096	1.041	0.850	0.855	0.559	0.001	0.000	0.000	0.000
0.025	3.711	4.336	4.330	3.889	3.761	3.924	3.372	2.393	2.784	2.469	1.811	2.130	3.060	3.551	3.246	2.488	2.217	2.434	2.346	1.891	2.822	2.652	1.732	1.752	1.784	1.613	1.721	1.915	1.406	1.697	1.386	1.357	1.157	1.391	1.817	1.348	1.096	1.740	2.401	1.622	2.103	2.136	2.547	2.833	2.592	2.311	2.829	2.498	2.322	1.921	1.965	1.765	1.825	1.329	1.175	1.238	1.016	0.866	0.829	0.581	0.001	0.000	0.000	0.000
0.030	3.771	4.479	4.473	3.854	3.797	4.056	3.435	2.599	2.727	2.323	2.149	2.079	2.928	3.513	3.326	2.590	2.219	2.405	2.346	1.810	2.878	2.667	1.758	1.560	1.621	1.532	1.773	1.753	1.319	1.829	1.183	1.529	1.279	1.462	1.925	1.435	1.352	1.640	2.523	1.670	2.095	2.209	2.611	2.993	2.616	2.377	2.952	2.599	2.449	1.957	2.090	1.911	1.838	1.483	1.211	1.348	0.995	0.901	0.807	0.576	0.001	0.000	0.000	0.000
0.035	3.653	4.534	4.517	3.741	3.671	4.105	3.739	3.132	2.613	1.944	2.204	1.781	2.696	3.449	3.257	2.458	2.119	2.306	2.375	2.029	2.831	2.571	1.843	1.671	1.704	1.582	1.892	1.559	1.279	1.888	0.842	1.611	1.387	1.426	2.074	1.483	1.561	1.409	2.460	1.677	2.048	2.235	2.638	3.082	2.607	2.416	2.987	2.718	2.505	2.004	2.154	2.007	1.822	1.619	1.263	1.397	0.999	0.924	0.782	0.559	0.001	0.000	0.000	0.000
0.040	3.675	4.482	4.504	3.833	3.592	4.020	3.902	3.415	2.661	1.708	2.034	1.989	2.744	3.393	3.042	2.010	2.052	2.185	2.347	2.122	2.886	2.611	1.967	1.829	1.733	1.745	1.960	1.858	1.313	2.039	1.002	1.642	1.418	1.389	2.122	1.495	1.658	1.258	2.257	1.617	1.963	2.173	2.603	3.106	2.619	2.460	2.935	2.789	2.590	2.136	2.156	2.078	1.794	1.762	1.323	1.425	1.052	0.984	0.754	0.567	0.001	0.000	0.000	0.000
0.045	3.713	4.295	4.442	4.004	3.491	3.851	3.851	3.486	3.102	2.248	2.152	2.126	2.741	3.431	3.038	2.207	2.236	2.230	2.363	2.152	3.087	2.825	2.039	1.898	1.869	1.917	1.873	2.115	1.434	2.184	1.335	1.680	1.328	1.622	2.125	1.503	1.636	1.294	1.959	1.519	1.876	2.104	2.478	3.079	2.656	2.476	2.885	2.808	2.657	2.275	2.107	2.190	1.809	1.866	1.388	1.455	1.095	1.062	0.732	0.583	0.001	0.000	0.000	0.000
0.050	3.498	3.975	4.258	4.095	3.601	3.841	3.569	3.342	3.507	2.965	2.694	2.423	2.908	3.575	3.424	2.875	2.405	2.411	2.583	2.476	3.165	2.853	1.977	1.864	1.971	2.010	1.722	2.229	1.651	2.239	1.503	1.650	1.136	1.843	2.166	1.537	1.536	1.434	1.821	1.500	1.967	2.080	2.391	3.043	2.661	2.458	2.829	2.702	2.625	2.411	2.119	2.261	1.848	1.991	1.419	1.454	1.108	1.124	0.712	0.591	0.001	0.000	0.000	0.000
0.055	3.356	3.571	3.979	4.101	3.739	3.934	3.690	3.568	3.742	3.297	2.923	2.711	3.119	3.708	3.689	3.118	2.350	2.561	2.824	2.743	3.080	2.684	1.746	1.755	1.939	1.960	1.577	2.231	1.760	2.176	1.469	1.514	0.995	1.943	2.298	1.575	1.444	1.669	1.954	1.522	2.095	2.072	2.321	2.955	2.585	2.423	2.764	2.558	2.526	2.543	2.176	2.301	1.910	2.103	1.492	1.495	1.119	1.187	0.734	0.604	0.001	0.000	0.000	0.000
0.060	3.641	3.647	4.029	4.011	3.734	4.057	3.991	3.836	3.839	3.386	2.894	2.835	3.150	3.754	3.813	3.174	2.173	2.660	2.942	2.817	2.845	2.473	1.874	1.833	1.852	1.948	1.666	2.149	1.715	2.089	1.346	1.351	1.018	1.912	2.362	1.546	1.427	1.821	2.102	1.523	2.239	2.159	2.326	2.834	2.455	2.368	2.715	2.648	2.436	2.623	2.256	2.303	1.924	2.202	1.570	1.564	1.143	1.241	0.811	0.622	0.001	0.000	0.000	0.000
0.065	3.688	3.886	4.182	3.891	3.638	4.145	4.094	3.813	3.841	3.314	2.724	2.910	3.114	3.750	3.772	3.170	2.428	2.860	2.933	2.711	2.635	2.665	2.228	1.848	1.837	1.793	1.623	1.961	1.560	2.219	1.449	1.237	1.097	1.752	2.344	1.481	1.355	1.868	2.188	1.650	2.402	2.272	2.487	2.839	2.333	2.325	2.678	2.737	2.446	2.597	2.292	2.295	1.871	2.330	1.592	1.591	1.215	1.309	0.917	0.642	0.001	0.000	0.000	0.000
