time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.011	2.323	2.237	2.063	1.800	1.487	1.279	1.282	1.336	1.302	1.159	0.916	0.607	0.320	0.186	0.234	0.373	0.530	0.484	0.347	0.428	0.298	0.339	0.725	0.945	0.899	0.542	0.505	0.274	0.175	0.269	0.132	0.078	0.074	0.138	0.218	0.147	0.079	0.085	0.047	0.042	0.027	0.029	0.025	0.031	0.025	0.019	0.020	0.044	0.018	0.011	0.013	0.008	0.009	0.011	0.009	0.008	0.010	0.009	0.006	0.003	0.004	0.004	0.004	0.004
0.023	3.436	3.752	3.923	3.813	3.504	3.316	3.338	3.313	3.157	2.769	1.900	1.396	2.120	2.585	2.844	2.891	2.434	1.370	1.978	2.466	2.551	2.538	2.205	2.345	2.559	2.258	2.222	1.799	1.338	1.480	1.434	1.098	1.166	1.288	1.179	0.736	0.572	1.050	1.058	0.978	0.817	0.859	0.363	0.312	0.310	0.352	0.245	0.189	0.176	0.152	0.130	0.173	0.143	0.079	0.077	0.123	0.054	0.051	0.044	0.012	0.009	0.008	0.008	0.008
0.034	2.847	3.705	4.527	4.699	4.153	3.790	4.198	3.729	3.422	3.975	3.925	3.836	3.937	4.050	4.087	4.026	3.593	2.536	2.744	2.981	3.124	3.178	3.110	2.971	3.023	3.019	2.762	2.335	1.763	1.718	1.818	1.490	1.551	1.852	1.702	1.210	0.963	1.539	1.429	1.378	1.323	1.298	0.684	0.696	0.782	1.009	0.514	0.420	0.635	0.548	0.592	0.483	0.641	0.374	0.356	0.488	0.176	0.251	0.194	0.043	0.020	0.006	0.004	0.004
0.046	1.815	3.619	4.484	4.682	4.678	4.832	4.909	4.664	4.337	4.077	4.171	4.377	4.031	3.926	4.011	3.664	3.895	3.504	2.559	2.140	2.452	2.589	2.791	2.771	2.338	2.537	2.050	2.070	1.535	1.291	1.083	1.130	1.145	1.365	1.288	1.050	0.796	1.142	1.007	0.968	1.053	1.066	0.713	0.827	0.881	1.030	0.579	0.618	0.859	1.129	1.188	0.928	1.073	0.868	0.563	0.666	0.307	0.405	0.264	0.121	0.027	0.012	0.000	0.000
0.058	1.564	3.674	4.504	4.578	4.866	5.108	4.762	4.200	3.973	3.629	3.878	4.357	4.194	3.849	3.271	2.405	3.731	3.663	2.547	2.326	1.876	1.791	2.252	2.675	2.021	1.961	0.826	1.845	1.321	1.119	0.947	0.608	0.641	0.619	0.820	0.713	0.601	0.518	0.670	0.571	0.724	0.576	0.638	0.655	0.750	0.701	0.600	0.562	0.935	1.220	1.177	0.925	1.005	0.905	0.529	0.598	0.358	0.363	0.180	0.144	0.018	0.016	0.000	0.000
0.069	1.922	3.412	4.668	5.090	4.694	4.265	4.028	2.899	3.037	3.081	3.625	4.198	3.921	3.659	3.553	2.906	3.259	3.096	2.303	1.960	1.380	1.427	1.760	2.236	1.518	1.686	0.540	1.548	1.257	0.887	0.737	0.469	0.377	0.477	0.480	0.420	0.357	0.299	0.512	0.228	0.429	0.363	0.383	0.362	0.584	0.486	0.360	0.333	0.538	0.602	0.539	0.436	0.538	0.423	0.284	0.383	0.208	0.204	0.078	0.076	0.004	0.012	0.000	0.000
0.081	2.566	3.924	4.929	5.057	4.354	3.860	3.776	3.201	3.296	3.460	3.741	4.019	3.826	3.610	3.013	2.346	2.975	2.849	2.082	2.186	1.934	1.025	1.410	2.155	1.567	1.582	0.551	1.327	1.302	0.368	0.245	0.495	0.250	0.325	0.227	0.309	0.192	0.192	0.369	0.174	0.201	0.182	0.122	0.147	0.469	0.342	0.162	0.181	0.147	0.157	0.109	0.116	0.290	0.080	0.090	0.278	0.063	0.135	0.026	0.013	0.001	0.003	0.000	0.000
0.092	2.924	4.510	5.186	4.968	3.894	3.722	3.921	3.371	3.403	3.488	3.759	3.979	3.682	3.772	3.758	3.123	3.556	3.367	1.486	1.821	1.816	1.495	1.464	1.930	1.613	1.486	0.655	1.366	1.171	0.560	0.354	0.421	0.348	0.257	0.203	0.320	0.201	0.173	0.387	0.127	0.157	0.178	0.118	0.067	0.378	0.293	0.134	0.182	0.129	0.131	0.114	0.121	0.314	0.115	0.123	0.264	0.069	0.138	0.038	0.022	0.000	0.000	0.000	0.000
0.104	3.098	4.649	5.161	4.806	3.877	3.920	3.982	3.205	3.103	3.431	3.787	4.191	4.053	3.880	3.660	3.016	3.607	3.410	1.706	1.911	1.996	1.566	1.392	1.624	1.444	1.337	0.902	1.440	0.790	0.617	0.427	0.360	0.491	0.433	0.375	0.443	0.146	0.236	0.381	0.100	0.136	0.185	0.078	0.060	0.321	0.268	0.085	0.193	0.115	0.112	0.092	0.090	0.321	0.081	0.086	0.275	0.059	0.138	0.031	0.016	0.000	0.000	0.000	0.000
0.116	3.374	4.472	4.679	4.417	3.825	3.740	3.856	3.240	3.307	3.460	3.839	4.263	3.990	3.663	3.324	2.377	3.234	2.694	1.204	1.927	2.325	1.490	1.036	1.760	1.068	1.027	0.741	1.593	0.715	0.320	0.457	0.484	0.520	0.508	0.498	0.488	0.117	0.167	0.307	0.083	0.094	0.167	0.084	0.052	0.237	0.218	0.085	0.196	0.105	0.090	0.070	0.060	0.332	0.055	0.052	0.304	0.056	0.124	0.025	0.008	0.000	0.000	0.000	0.000
0.127	3.617	4.558	4.564	4.300	4.010	3.874	3.910	3.291	3.099	3.087	3.551	4.223	4.232	3.963	3.580	2.965	3.298	2.691	1.282	1.875	1.850	1.381	1.459	1.814	0.721	1.075	0.535	1.538	0.968	0.385	0.482	0.667	0.471	0.424	0.303	0.430	0.119	0.105	0.257	0.117	0.095	0.120	0.068	0.050	0.177	0.155	0.085	0.147	0.074	0.069	0.059	0.069	0.299	0.058	0.054	0.266	0.051	0.111	0.031	0.008	0.001	0.000	0.000	0.000
