time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.005	0.637	0.627	0.608	0.580	0.543	0.499	0.448	0.392	0.333	0.273	0.214	0.158	0.108	0.068	0.043	0.039	0.050	0.058	0.059	0.070	0.096	0.128	0.156	0.175	0.180	0.153	0.108	0.069	0.039	0.017	0.014	0.015	0.012	0.032	0.051	0.037	0.024	0.018	0.007	0.009	0.007	0.007	0.007	0.009	0.006	0.004	0.006	0.011	0.004	0.003	0.002	0.002	0.002	0.003	0.002	0.002	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001
0.011	2.323	2.237	2.063	1.800	1.487	1.279	1.282	1.336	1.302	1.159	0.916	0.607	0.320	0.186	0.234	0.373	0.530	0.484	0.347	0.428	0.298	0.339	0.725	0.945	0.899	0.542	0.505	0.274	0.175	0.269	0.132	0.078	0.074	0.138	0.218	0.147	0.079	0.085	0.047	0.042	0.027	0.029	0.025	0.031	0.025	0.019	0.020	0.044	0.018	0.011	0.013	0.008	0.009	0.011	0.009	0.008	0.010	0.009	0.006	0.003	0.004	0.004	0.004	0.004
0.017	3.190	3.243	3.192	2.908	2.325	2.104	2.483	2.614	2.475	2.141	1.672	1.199	1.083	1.288	1.475	1.601	1.518	1.058	1.243	1.626	1.590	1.540	1.210	1.544	1.745	1.169	1.363	1.022	0.730	0.970	0.796	0.591	0.629	0.591	0.577	0.349	0.232	0.505	0.548	0.465	0.305	0.381	0.124	0.118	0.099	0.085	0.090	0.095	0.058	0.048	0.049	0.058	0.044	0.030	0.024	0.024	0.023	0.022	0.014	0.007	0.007	0.007	0.006	0.006
0.023	3.436	3.752	3.923	3.813	3.504	3.316	3.338	3.313	3.157	2.769	1.900	1.396	2.120	2.585	2.844	2.891	2.434	1.370	1.978	2.466	2.551	2.538	2.205	2.345	2.559	2.258	2.222	1.799	1.338	1.480	1.434	1.098	1.166	1.288	1.179	0.736	0.572	1.050	1.058	0.978	0.817	0.859	0.363	0.312	0.310	0.352	0.245	0.189	0.176	0.152	0.130	0.173	0.143	0.079	0.077	0.123	0.054	0.051	0.044	0.012	0.009	0.008	0.008	0.008
0.029	3.343	3.868	4.346	4.355	4.012	3.773	3.796	3.566	3.363	3.431	3.192	3.040	3.316	3.577	3.711	3.672	3.091	1.622	2.393	2.893	3.003	3.031	2.840	2.821	2.952	2.813	2.648	2.209	1.677	1.718	1.763	1.397	1.472	1.709	1.568	1.061	0.844	1.412	1.355	1.289	1.177	1.177	0.573	0.523	0.576	0.739	0.413	0.296	0.416	0.317	0.296	0.320	0.372	0.176	0.197	0.313	0.110	0.133	0.113	0.020	0.013	0.007	0.006	0.006
0.034	2.847	3.705	4.527	4.699	4.153	3.790	4.198	3.729	3.422	3.975	3.925	3.836	3.937	4.050	4.087	4.026	3.593	2.536	2.744	2.981	3.124	3.178	3.110	2.971	3.023	3.019	2.762	2.335	1.763	1.718	1.818	1.490	1.551	1.852	1.702	1.210	0.963	1.539	1.429	1.378	1.323	1.298	0.684	0.696	0.782	1.009	0.514	0.420	0.635	0.548	0.592	0.483	0.641	0.374	0.356	0.488	0.176	0.251	0.194	0.043	0.020	0.006	0.004	0.004
0.040	1.485	3.516	4.537	4.824	4.442	4.251	4.617	4.388	4.060	4.183	4.218	4.224	4.149	4.155	4.171	4.030	3.852	3.178	2.823	2.771	2.961	3.037	3.091	2.878	2.790	2.929	2.581	2.219	1.662	1.553	1.604	1.405	1.434	1.739	1.599	1.182	0.922	1.443	1.296	1.260	1.263	1.252	0.724	0.798	0.892	1.100	0.544	0.543	0.768	0.850	0.943	0.716	0.898	0.646	0.493	0.613	0.239	0.350	0.250	0.082	0.025	0.008	0.001	0.001
0.046	1.815	3.619	4.484	4.682	4.678	4.832	4.909	4.664	4.337	4.077	4.171	4.377	4.031	3.926	4.011	3.664	3.895	3.504	2.559	2.140	2.452	2.589	2.791	2.771	2.338	2.537	2.050	2.070	1.535	1.291	1.083	1.130	1.145	1.365	1.288	1.050	0.796	1.142	1.007	0.968	1.053	1.066	0.713	0.827	0.881	1.030	0.579	0.618	0.859	1.129	1.188	0.928	1.073	0.868	0.563	0.666	0.307	0.405	0.264	0.121	0.027	0.012	0.000	0.000
0.052	1.839	3.701	4.450	4.335	4.687	5.110	4.962	4.607	4.309	3.635	3.818	4.393	3.896	3.588	3.596	2.610	3.761	3.641	2.279	2.129	2.205	2.031	2.296	2.757	2.035	2.002	1.163	1.999	1.421	1.127	0.827	0.793	0.836	0.844	0.970	0.886	0.674	0.767	0.741	0.773	0.829	0.775	0.683	0.778	0.802	0.861	0.615	0.623	0.931	1.269	1.265	1.007	1.114	0.956	0.574	0.659	0.359	0.409	0.237	0.144	0.024	0.015	0.000	0.000
0.058	1.564	3.674	4.504	4.578	4.866	5.108	4.762	4.200	3.973	3.629	3.878	4.357	4.194	3.849	3.271	2.405	3.731	3.663	2.547	2.326	1.876	1.791	2.252	2.675	2.021	1.961	0.826	1.845	1.321	1.119	0.947	0.608	0.641	0.619	0.820	0.713	0.601	0.518	0.670	0.571	0.724	0.576	0.638	0.655	0.750	0.701	0.600	0.562	0.935	1.220	1.177	0.925	1.005	0.905	0.529	0.598	0.358	0.363	0.180	0.144	0.018	0.016	0.000	0.000
0.063	1.675	3.543	4.595	4.949	4.932	4.837	4.327	3.202	3.345	3.531	3.857	4.298	4.216	3.898	3.471	2.931	3.607	3.477	2.583	2.242	1.643	1.683	2.152	2.479	1.816	1.852	0.700	1.645	1.172	1.076	0.931	0.539	0.503	0.572	0.672	0.531	0.503	0.358	0.633	0.337	0.603	0.479	0.540	0.517	0.660	0.590	0.509	0.447	0.805	0.980	0.919	0.707	0.785	0.712	0.428	0.488	0.304	0.285	0.122	0.119	0.010	0.015	0.000	0.000
0.069	1.922	3.412	4.668	5.090	4.694	4.265	4.028	2.899	3.037	3.081	3.625	4.198	3.921	3.659	3.553	2.906	3.259	3.096	2.303	1.960	1.380	1.427	1.760	2.236	1.518	1.686	0.540	1.548	1.257	0.887	0.737	0.469	0.377	0.477	0.480	0.420	0.357	0.299	0.512	0.228	0.429	0.363	0.383	0.362	0.584	0.486	0.360	0.333	0.538	0.602	0.539	0.436	0.538	0.423	0.284	0.383	0.208	0.204	0.078	0.076	0.004	0.012	0.000	0.000
