time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.005	0.829	0.821	0.804	0.780	0.750	0.715	0.678	0.640	0.605	0.575	0.552	0.536	0.527	0.522	0.521	0.522	0.524	0.527	0.533	0.545	0.564	0.586	0.599	0.593	0.535	0.421	0.361	0.307	0.181	0.047	0.072	0.108	0.152	0.209	0.166	0.123	0.223	0.113	0.038	0.045	0.102	0.070	0.088	0.109	0.022	0.039	0.028	0.033	0.030	0.037	0.014	0.018	0.017	0.011	0.010	0.004	0.003	0.002	0.003	0.002	0.002	0.002	0.002	0.002
0.011	2.080	2.182	2.257	2.222	2.037	1.664	1.177	1.158	1.459	1.563	1.501	1.369	1.297	1.313	1.318	1.261	1.195	1.314	1.469	1.470	1.250	1.268	1.666	1.840	1.495	0.983	1.035	1.167	0.823	0.599	0.398	0.476	0.728	0.766	0.651	0.718	0.973	0.390	0.221	0.289	0.541	0.360	0.780	0.584	0.325	0.366	0.360	0.343	0.295	0.321	0.215	0.163	0.130	0.124	0.069	0.039	0.027	0.020	0.015	0.011	0.007	0.006	0.006	0.006
0.017	2.221	2.881	3.387	3.588	3.502	3.169	2.880	2.897	2.838	2.420	1.634	1.573	1.988	1.995	1.800	1.596	1.542	1.761	2.041	2.106	1.691	1.569	2.373	2.634	2.136	1.431	1.511	1.836	1.284	1.415	0.727	0.863	1.201	1.293	1.064	1.291	1.564	0.888	0.603	0.775	1.031	0.777	1.439	1.015	0.790	0.820	0.859	0.871	0.747	0.665	0.538	0.380	0.292	0.331	0.176	0.117	0.073	0.076	0.041	0.033	0.012	0.011	0.010	0.010
0.023	2.158	2.934	4.005	4.498	4.585	4.403	4.128	3.852	3.473	2.890	2.156	2.191	2.525	2.357	1.901	1.659	1.661	1.947	2.289	2.416	1.992	1.614	2.764	2.986	2.581	1.851	1.936	2.176	1.501	1.984	0.985	1.112	1.443	1.689	1.319	1.609	1.858	1.387	1.208	1.250	1.339	1.152	1.804	1.262	1.117	1.119	1.201	1.266	1.140	0.890	0.780	0.556	0.423	0.516	0.289	0.212	0.129	0.142	0.077	0.058	0.015	0.014	0.012	0.012
0.029	2.098	3.241	4.398	5.049	5.220	5.075	4.715	4.189	3.683	3.279	2.704	2.533	2.808	2.617	1.983	1.793	1.829	2.137	2.309	2.493	2.323	1.674	2.922	3.018	2.836	2.174	2.158	2.314	1.661	2.270	1.253	1.247	1.485	1.897	1.428	1.695	1.902	1.642	1.577	1.519	1.485	1.352	1.902	1.340	1.292	1.245	1.340	1.443	1.343	0.954	0.870	0.627	0.500	0.612	0.357	0.269	0.172	0.185	0.102	0.073	0.013	0.013	0.010	0.010
0.034	2.934	3.788	4.765	5.323	5.483	5.391	5.000	4.176	3.571	3.549	2.866	2.507	2.952	2.799	2.298	2.279	2.418	2.527	2.124	2.451	2.477	1.731	2.905	2.757	2.858	2.409	2.118	2.355	1.880	2.310	1.487	1.644	1.584	1.918	1.417	1.589	1.759	1.690	1.716	1.560	1.434	1.356	1.756	1.258	1.356	1.244	1.328	1.412	1.343	0.903	0.810	0.603	0.505	0.588	0.361	0.271	0.185	0.189	0.111	0.072	0.009	0.009	0.006	0.006
0.040	3.075	4.210	5.034	5.343	5.423	5.443	5.072	3.926	3.139	3.671	3.112	2.645	2.994	2.772	2.439	2.597	2.841	2.726	1.923	2.453	2.461	1.809	2.763	2.244	2.664	2.461	2.168	2.446	1.971	2.135	1.570	2.020	1.721	1.805	1.334	1.432	1.503	1.728	1.660	1.391	1.286	1.220	1.393	1.135	1.305	1.143	1.208	1.238	1.164	0.860	0.667	0.528	0.463	0.462	0.328	0.244	0.172	0.161	0.104	0.059	0.003	0.004	0.002	0.002
0.046	3.005	4.416	5.136	5.101	5.023	5.264	4.974	3.930	3.223	3.678	3.452	2.974	2.848	2.505	2.265	2.646	2.994	2.699	1.748	2.363	2.320	1.824	2.631	1.974	2.591	2.352	2.216	2.336	1.974	1.799	1.484	2.152	1.759	1.594	1.246	1.416	1.246	1.829	1.455	1.192	1.252	1.117	0.970	1.179	1.254	1.015	1.042	1.029	0.941	0.950	0.558	0.455	0.429	0.323	0.290	0.207	0.156	0.128	0.097	0.044	0.001	0.001	0.000	0.000
0.052	2.878	4.461	5.070	4.674	4.340	4.876	4.723	3.822	3.151	3.659	3.515	3.001	2.466	1.960	1.998	2.448	2.896	2.496	1.698	2.138	2.159	1.876	2.696	1.971	2.718	2.284	2.402	2.005	1.838	1.485	1.421	2.085	1.657	1.386	1.265	1.479	0.950	1.798	1.189	1.142	1.322	1.110	0.865	1.212	1.201	0.889	0.872	0.965	0.933	1.036	0.562	0.422	0.404	0.289	0.269	0.201	0.155	0.117	0.089	0.039	0.000	0.000	0.000	0.000
0.058	2.868	4.387	4.878	4.610	4.295	4.390	4.251	3.625	3.273	3.598	3.287	2.698	1.942	1.474	2.151	2.103	2.658	2.461	1.676	1.877	2.006	2.148	2.890	2.081	2.801	2.274	2.457	1.986	1.818	1.350	1.544	1.891	1.506	1.334	1.390	1.544	0.909	1.571	0.968	1.080	1.335	1.185	0.959	1.174	1.221	0.895	0.714	0.946	0.991	1.039	0.589	0.460	0.387	0.349	0.292	0.218	0.170	0.115	0.078	0.037	0.000	0.000	0.000	0.000
0.063	3.099	4.214	4.624	4.336	4.032	3.841	3.472	3.423	3.419	3.441	2.890	2.049	1.804	1.878	2.298	2.280	2.707	2.649	1.772	1.776	1.942	2.365	3.030	2.263	2.763	2.247	2.310	2.169	1.821	1.685	1.581	1.846	1.504	1.294	1.413	1.541	1.165	1.339	0.940	0.871	1.294	1.244	1.038	1.188	1.250	0.944	0.604	0.943	0.989	0.982	0.593	0.530	0.428	0.430	0.344	0.261	0.193	0.126	0.082	0.036	0.000	0.000	0.000	0.000
0.069	2.987	3.999	4.224	3.812	3.717	3.592	2.923	2.845	3.233	3.451	2.883	1.868	1.757	1.922	2.199	2.614	2.829	2.685	2.010	1.927	1.991	2.429	3.022	2.153	2.648	2.085	2.009	2.227	2.016	2.087	1.573	1.704	1.598	1.316	1.302	1.441	1.434	1.269	0.999	0.774	1.163	1.319	1.073	1.240	1.227	0.962	0.594	0.946	0.979	0.963	0.575	0.639	0.507	0.506	0.398	0.311	0.215	0.154	0.104	0.043	0.000	0.000	0.000	0.000
0.075	2.996	3.785	3.585	3.733	4.187	3.968	2.996	1.447	3.009	3.597	3.347	2.673	2.161	1.616	1.988	2.613	2.734	2.577	2.180	2.041	1.971	2.292	2.831	1.857	2.578	2.022	1.799	2.120	2.106	2.309	1.715	1.549	1.605	1.395	1.324	1.360	1.585	1.278	1.134	0.939	1.104	1.327	1.139	1.241	1.165	0.965	0.614	0.958	0.970	0.977	0.601	0.732	0.593	0.545	0.454	0.388	0.235	0.182	0.123	0.058	0.000	0.000	0.000	0.000
0.081	2.917	3.634	3.581	3.974	4.461	4.288	3.446	2.537	3.203	3.745	3.663	3.053	2.197	1.560	1.934	2.322	2.709	2.720	2.170	2.007	2.032	2.153	2.881	2.282	2.526	2.216	1.957	1.988	2.164	2.383	1.787	1.403	1.537	1.517	1.401	1.438	1.573	1.321	1.310	1.115	1.130	1.357	1.156	1.302	1.222	0.971	0.650	1.017	0.991	1.028	0.671	0.770	0.641	0.567	0.486	0.440	0.259	0.195	0.131	0.075	0.000	0.000	0.000	0.000
0.087	2.690	3.586	3.702	4.024	4.552	4.475	3.707	2.787	3.198	3.776	3.768	3.182	2.073	1.633	1.892	1.699	2.597	2.814	2.076	1.816	2.004	2.114	3.056	2.508	2.379	2.388	2.366	2.115	2.271	2.393	1.743	1.276	1.453	1.590	1.322	1.440	1.503	1.275	1.398	1.209	1.106	1.391	1.168	1.310	1.348	0.965	0.714	1.101	1.008	1.108	0.755	0.772	0.665	0.596	0.459	0.452	0.270	0.204	0.140	0.091	0.000	0.000	0.000	0.000
0.092	2.605	3.535	3.574	3.871	4.549	4.491	3.735	2.788	3.075	3.705	3.633	3.122	2.418	2.021	1.820	1.149	2.368	2.686	2.226	1.931	1.787	2.142	3.188	2.464	2.370	2.534	2.543	2.252	2.343	2.310	1.645	1.050	1.409	1.618	1.081	1.297	1.320	1.163	1.368	1.237	1.065	1.435	1.139	1.221	1.423	0.972	0.702	1.150	1.008	1.183	0.799	0.777	0.644	0.636	0.445	0.457	0.284	0.214	0.155	0.102	0.000	0.000	0.000	0.000
0.098	2.359	3.395	3.445	3.816	4.537	4.391	3.564	3.105	3.272	3.592	3.259	2.817	2.569	2.179	2.008	1.576	2.087	2.282	2.283	1.993	1.428	2.192	3.268	2.581	2.539	2.657	2.483	2.220	2.218	2.084	1.680	1.120	1.394	1.594	1.213	1.347	1.039	1.023	1.228	1.121	1.030	1.496	1.240	1.119	1.384	0.991	0.692	1.153	0.968	1.195	0.780	0.807	0.655	0.619	0.445	0.451	0.298	0.210	0.168	0.102	0.000	0.000	0.000	0.000
0.104	2.328	3.215	3.319	3.839	4.544	4.414	3.673	3.255	3.338	3.532	3.073	2.504	2.395	2.108	2.126	2.003	1.822	1.844	2.257	1.962	1.277	2.211	3.264	2.771	2.598	2.756	2.329	1.940	1.881	1.874	1.671	1.162	1.335	1.495	1.429	1.478	1.029	0.996	0.984	0.955	1.105	1.515	1.308	1.099	1.227	0.965	0.849	1.169	0.919	1.179	0.723	0.823	0.657	0.570	0.483	0.452	0.306	0.209	0.179	0.092	0.000	0.000	0.000	0.000
0.110	2.045	3.049	3.004	3.688	4.504	4.505	3.953	3.245	3.257	3.671	3.382	2.431	1.753	2.008	2.235	2.110	1.597	2.079	2.351	2.004	1.356	2.056	3.114	2.787	2.600	2.769	2.191	1.877	1.845	2.084	1.762	1.270	1.241	1.298	1.479	1.574	1.112	1.011	0.833	0.940	1.177	1.448	1.260	1.166	1.095	0.919	1.092	1.174	0.921	1.162	0.663	0.800	0.620	0.544	0.501	0.470	0.305	0.220	0.189	0.084	0.000	0.000	0.000	0.000
0.116	2.019	2.818	2.874	3.619	4.412	4.421	3.951	3.434	3.448	3.874	3.672	2.752	2.046	2.070	2.246	1.976	1.711	2.334	2.363	2.144	1.459	1.696	2.826	2.639	2.498	2.683	2.119	2.232	1.938	2.200	1.957	1.568	1.078	1.088	1.351	1.686	1.186	1.021	0.943	0.973	1.206	1.337	1.112	1.247	1.064	0.939	1.217	1.179	0.959	1.115	0.642	0.787	0.608	0.531	0.500	0.455	0.300	0.235	0.191	0.088	0.000	0.000	0.000	0.000
